

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
032.965  000.110  000.068: require('cokeline/buffers')
033.102  000.040  000.040: require('cokeline/hlgroups')
033.107  000.090  000.051: require('cokeline/components')
033.156  000.047  000.047: require('cokeline/sliders')
033.174  000.207  000.069: require('cokeline/config')
033.227  000.051  000.051: require('cokeline/mappings')
033.349  000.037  000.037: require('cokeline/context')
033.353  000.080  000.043: require('cokeline/sidebar')
033.445  000.091  000.091: require('cokeline/rhs')
033.450  000.220  000.050: require('cokeline/rendering')
033.646  000.125  000.125: require('vim.version')
036.972  000.398  000.398: require('cokeline.buffers')
037.124  000.138  000.138: require('cokeline.rendering')
037.132  003.680  003.019: require('cokeline/hover')
037.258  000.098  000.098: require('cokeline/handlers')
037.266  004.558  000.144: require('cokeline')
039.062  006.805  001.872: require('stankovictab.specifics.cokeline')
040.078  000.376  000.376: require('cmp.utils.api')
040.210  000.053  000.053: require('cmp.types.cmp')
040.357  000.076  000.076: require('cmp.utils.misc')
040.489  000.275  000.199: require('cmp.types.lsp')
040.550  000.056  000.056: require('cmp.types.vim')
040.553  000.469  000.086: require('cmp.types')
040.617  000.062  000.062: require('cmp.utils.highlight')
040.773  000.072  000.072: require('cmp.utils.debug')
040.786  000.166  000.094: require('cmp.utils.autocmd')
041.211  001.599  000.527: sourcing /home/stankovictab/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
042.022  000.206  000.206: require('cmp.utils.char')
042.034  000.344  000.137: require('cmp.utils.str')
042.344  000.082  000.082: require('cmp.utils.buffer')
042.354  000.228  000.146: require('cmp.utils.keymap')
042.361  000.324  000.096: require('cmp.utils.feedkeys')
042.685  000.112  000.112: require('cmp.config.mapping')
042.754  000.065  000.065: require('cmp.utils.cache')
042.946  000.112  000.112: require('cmp.config.compare')
042.950  000.191  000.079: require('cmp.config.default')
042.977  000.520  000.152: require('cmp.config')
043.005  000.642  000.122: require('cmp.utils.async')
043.175  000.087  000.087: require('cmp.utils.pattern')
043.182  000.173  000.086: require('cmp.context')
043.958  000.507  000.507: require('cmp.matcher')
044.032  000.709  000.202: require('cmp.entry')
044.115  000.932  000.223: require('cmp.source')
044.783  000.339  000.339: require('cmp.utils.event')
045.106  000.044  000.044: require('cmp.utils.options')
045.114  000.159  000.115: require('cmp.utils.window')
045.120  000.331  000.172: require('cmp.view.docs_view')
045.221  000.099  000.099: require('cmp.view.custom_entries_view')
045.295  000.071  000.071: require('cmp.view.wildmenu_entries_view')
045.357  000.058  000.058: require('cmp.view.native_entries_view')
045.438  000.078  000.078: require('cmp.view.ghost_text_view')
045.449  001.330  000.353: require('cmp.view')
046.071  004.549  000.804: require('cmp.core')
046.380  000.112  000.112: require('cmp.config.sources')
046.436  000.051  000.051: require('cmp.config.window')
046.525  005.135  000.423: require('cmp')
048.291  001.072  001.072: require('vim.filetype')
048.968  000.051  000.051: require('luasnip.util.types')
049.023  000.050  000.050: require('luasnip.util.ext_opts')
049.201  000.053  000.053: require('luasnip.session')
051.393  002.320  002.267: require('luasnip.util.util')
051.401  002.375  000.055: require('luasnip.extras.filetype_functions')
051.520  003.035  000.559: require('luasnip.config')
051.732  000.045  000.045: require('luasnip.session.snippet_collection.source')
051.739  000.109  000.065: require('luasnip.session.snippet_collection')
052.267  000.478  000.478: require('luasnip.util._builtin_vars')
052.372  000.099  000.099: require('vim.inspect')
052.534  000.793  000.215: require('luasnip.util.environ')
052.724  000.185  000.185: require('luasnip.util.extend_decorator')
052.869  000.058  000.058: require('luasnip.loaders._caches')
053.023  000.087  000.087: require('luasnip.util.path')
053.032  000.159  000.071: require('luasnip.loaders.util')
053.060  000.332  000.116: require('luasnip.loaders')
053.183  000.113  000.113: require('luasnip.util.log')
053.221  001.688  000.156: require('luasnip')
053.271  006.162  000.368: sourcing /home/stankovictab/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
053.371  000.042  000.042: sourcing /home/stankovictab/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
053.731  000.204  000.204: require('luasnip.util.jsonc')
053.745  007.216  000.808: require('luasnip/loaders/from_vscode')
056.679  015.422  003.071: require('stankovictab.specifics.nvim-cmp')
057.104  000.165  000.165: sourcing /home/stankovictab/.local/share/nvim/lazy/lazygit.nvim/plugin/lazygit.vim
058.606  000.020  000.020: sourcing /home/stankovictab/.local/share/nvim/lazy/which-key.nvim/plugin/which-key.vim
059.566  000.103  000.103: require('which-key.util')
059.572  000.218  000.115: require('which-key.tree')
059.808  000.234  000.234: require('which-key.config')
059.823  000.604  000.152: require('which-key.keys')
059.830  001.183  000.579: require('which-key')
061.108  000.319  000.319: require('vim.lsp.log')
061.708  000.592  000.592: require('vim.lsp.protocol')
062.363  000.354  000.354: require('vim.lsp._snippet')
062.444  000.076  000.076: require('vim.highlight')
062.473  000.737  000.307: require('vim.lsp.util')
062.501  001.937  000.290: require('vim.lsp.handlers')
062.954  000.450  000.450: require('vim.lsp.rpc')
063.248  000.289  000.289: require('vim.lsp.sync')
063.867  000.613  000.613: require('vim.lsp.semantic_tokens')
064.664  000.774  000.774: require('vim.lsp.buf')
064.792  000.122  000.122: require('vim.lsp.diagnostic')
064.857  000.061  000.061: require('vim.lsp.codelens')
064.988  004.748  000.501: require('vim.lsp')
066.449  006.385  001.637: sourcing /home/stankovictab/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
066.778  000.055  000.055: require('mason-core.path')
066.950  000.095  000.095: require('mason-core.functional')
067.065  000.042  000.042: require('mason-core.functional.data')
067.071  000.101  000.059: require('mason-core.functional.function')
067.157  000.064  000.064: require('mason-core.functional.relation')
067.215  000.049  000.049: require('mason-core.functional.logic')
067.234  000.451  000.143: require('mason-core.platform')
067.332  000.095  000.095: require('mason.settings')
067.337  000.668  000.068: require('mason')
067.604  000.117  000.117: require('mason-core.functional.list')
067.699  000.085  000.085: require('mason-core.functional.string')
067.758  000.395  000.193: require('mason.api.command')
067.876  000.093  000.093: require('mason-registry.sources')
069.263  000.201  000.201: require('mason-core.log')
069.895  000.622  000.622: require('mason-lspconfig.settings')
069.904  002.009  001.187: require('mason-lspconfig')
070.069  000.066  000.066: require('mason-lspconfig.notify')
070.080  000.158  000.093: require('mason-lspconfig.lspconfig_hook')
070.475  000.391  000.391: require('lspconfig.util')
070.698  000.081  000.081: require('mason-core.functional.table')
070.806  000.325  000.243: require('mason-lspconfig.mappings.server')
071.059  000.071  000.071: require('mason-core.EventEmitter')
071.148  000.083  000.083: require('mason-core.optional')
071.324  000.063  000.063: require('mason-core.async')
071.383  000.054  000.054: require('mason-core.async.uv')
071.390  000.236  000.118: require('mason-core.fs')
071.428  000.616  000.226: require('mason-registry')
071.477  000.046  000.046: require('mason-lspconfig.server_config_extensions')
071.546  000.066  000.066: require('lspconfig.configs')
071.602  000.053  000.053: require('lspconfig.server_configurations.omnisharp')
071.738  000.051  000.051: require('mason-lspconfig.ensure_installed')
072.042  000.065  000.065: require('mason-core.result')
072.104  000.209  000.143: require('mason-core.purl')
072.116  000.312  000.103: require('mason-core.package')
072.390  000.143  000.143: require('mason-core.process')
072.625  000.229  000.229: require('mason-core.spawn')
072.634  000.437  000.066: require('mason-core.managers.powershell')
072.719  000.081  000.081: require('mason.version')
072.726  000.608  000.089: require('mason-core.fetch')
